date,campaign_name,purchases_new
2026-05-27,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,3
2026-05-27,ASUC-(HISTO)-MULTI-(HISTO)-PERF-LABO,5
2026-05-27,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,8
2026-05-27,ASUC-(HISTO)-UK-(UK)-PERF-RTG,2
2026-05-27,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,4
2026-05-27,ASUC-(HISTO)-US-(US)-PERF-RTG,1
2026-05-27,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,1
2026-05-27,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,null
2026-05-27,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,1
2026-05-27,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,null
2026-05-27,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,9
2026-05-27,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,1
2026-05-27,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,null
2026-05-27,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,null
2026-05-27,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,9
2026-05-27,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,2
2026-05-27,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,1
2026-05-27,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,3
2026-05-27,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,4
2026-05-27,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,null
2026-05-27,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,null
2026-05-27,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,null
2026-05-27,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,1
2026-05-27,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,null
2026-05-27,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,1
2026-05-27,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,null
2026-05-27,ASUC-(NEW)-PERF-RTG-WARM-ROW,2
2026-05-27,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,1
2026-05-27,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,null
2026-05-27,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,null
2026-05-27,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,1
2026-05-27,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,null
2026-05-27,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,1
2026-05-27,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,4
2026-05-27,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,null
2026-05-28,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,18
2026-05-28,ASUC-(ALL)-PERF-KIDS-INTER,16
2026-05-28,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,null
2026-05-28,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,1
2026-05-28,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,3
2026-05-28,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,12
2026-05-28,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,1
2026-05-28,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,4
2026-05-28,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,2
2026-05-28,ASUC-(HISTO)-MULTI-(HISTO)-PERF-LABO,3
2026-05-28,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,6
2026-05-28,ASUC-(HISTO)-UK-(UK)-PERF-RTG,1
2026-05-28,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,5
2026-05-28,ASUC-(HISTO)-US-(US)-PERF-RTG,1
2026-05-28,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,null
2026-05-28,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,null
2026-05-28,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,2
2026-05-28,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,1
2026-05-28,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,1
2026-05-28,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,null
2026-05-28,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,1
2026-05-28,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,1
2026-05-28,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,4
2026-05-28,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,1
2026-05-28,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,3
2026-05-28,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,3
2026-05-28,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,3
2026-05-28,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,null
2026-05-28,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,null
2026-05-28,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,null
2026-05-28,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,1
2026-05-28,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,null
2026-05-28,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,null
2026-05-28,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,null
2026-05-28,ASUC-(NEW)-PERF-RTG-WARM-ROW,1
2026-05-28,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,null
2026-05-28,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,null
2026-05-28,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,null
2026-05-28,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,null
2026-05-28,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,null
2026-05-28,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,null
2026-05-28,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,1
2026-05-28,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,3
2026-05-28,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-READING,null
2026-05-28,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-SUN,1
2026-05-28,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-RTG,null
2026-05-29,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,6
2026-05-29,ASUC-(ALL)-PERF-KIDS-INTER,23
2026-05-29,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,1
2026-05-29,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,1
2026-05-29,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,6
2026-05-29,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,12
2026-05-29,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,3
2026-05-29,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,12
2026-05-29,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,1
2026-05-29,ASUC-(HISTO)-MULTI-(HISTO)-PERF-LABO,null
2026-05-29,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,9
2026-05-29,ASUC-(HISTO)-UK-(UK)-PERF-RTG,null
2026-05-29,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,5
2026-05-29,ASUC-(HISTO)-US-(US)-PERF-RTG,null
2026-05-29,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,null
2026-05-29,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,null
2026-05-29,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,5
2026-05-29,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,null
2026-05-29,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,null
2026-05-29,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,2
2026-05-29,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,1
2026-05-29,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,null
2026-05-29,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,6
2026-05-29,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,1
2026-05-29,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,2
2026-05-29,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,null
2026-05-29,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,4
2026-05-29,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,1
2026-05-29,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,null
2026-05-29,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,null
2026-05-29,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,null
2026-05-29,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,null
2026-05-29,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,1
2026-05-29,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,null
2026-05-29,ASUC-(NEW)-PERF-RTG-WARM-ROW,null
2026-05-29,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,null
2026-05-29,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,null
2026-05-29,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,null
2026-05-29,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,null
2026-05-29,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,1
2026-05-29,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,null
2026-05-29,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,null
2026-05-29,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,1
2026-05-29,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-READING,null
2026-05-29,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-SUN,1
2026-05-29,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-RTG,1
2026-05-30,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,14
2026-05-30,ASUC-(ALL)-PERF-KIDS-INTER,22
2026-05-30,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,null
2026-05-30,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,5
2026-05-30,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,null
2026-05-30,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,5
2026-05-30,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,6
2026-05-30,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,9
2026-05-30,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,3
2026-05-30,ASUC-(HISTO)-MULTI-(HISTO)-PERF-LABO,3
2026-05-30,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,7
2026-05-30,ASUC-(HISTO)-UK-(UK)-PERF-RTG,1
2026-05-30,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,null
2026-05-30,ASUC-(HISTO)-US-(US)-PERF-RTG,null
2026-05-30,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,null
2026-05-30,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,1
2026-05-30,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,null
2026-05-30,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,null
2026-05-30,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,4
2026-05-30,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,1
2026-05-30,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,1
2026-05-30,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,null
2026-05-30,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,3
2026-05-30,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,3
2026-05-30,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,4
2026-05-30,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,null
2026-05-30,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,3
2026-05-30,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,3
2026-05-30,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,null
2026-05-30,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,null
2026-05-30,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,null
2026-05-30,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,null
2026-05-30,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,3
2026-05-30,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,null
2026-05-30,ASUC-(NEW)-PERF-RTG-WARM-ROW,null
2026-05-30,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,null
2026-05-30,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,null
2026-05-30,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,null
2026-05-30,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,null
2026-05-30,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,null
2026-05-30,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,null
2026-05-30,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,null
2026-05-30,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,3
2026-05-30,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-READING,1
2026-05-30,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-SUN,2
2026-05-30,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-RTG,null
2026-05-31,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,22
2026-05-31,ASUC-(ALL)-PERF-KIDS-INTER,21
2026-05-31,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,2
2026-05-31,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,2
2026-05-31,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,null
2026-05-31,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,7
2026-05-31,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,4
2026-05-31,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,12
2026-05-31,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,3
2026-05-31,ASUC-(HISTO)-MULTI-(HISTO)-PERF-LABO,null
2026-05-31,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,8
2026-05-31,ASUC-(HISTO)-UK-(UK)-PERF-RTG,4
2026-05-31,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,2
2026-05-31,ASUC-(HISTO)-US-(US)-PERF-RTG,null
2026-05-31,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,null
2026-05-31,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,null
2026-05-31,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,2
2026-05-31,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,1
2026-05-31,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,1
2026-05-31,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,null
2026-05-31,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,1
2026-05-31,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,null
2026-05-31,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,2
2026-05-31,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,null
2026-05-31,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,1
2026-05-31,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,1
2026-05-31,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,2
2026-05-31,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,1
2026-05-31,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,null
2026-05-31,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,null
2026-05-31,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,null
2026-05-31,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,null
2026-05-31,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,null
2026-05-31,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,1
2026-05-31,ASUC-(NEW)-PERF-RTG-WARM-ROW,null
2026-05-31,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,null
2026-05-31,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,null
2026-05-31,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,null
2026-05-31,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,null
2026-05-31,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,null
2026-05-31,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,null
2026-05-31,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,2
2026-05-31,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,3
2026-05-31,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-READING,1
2026-05-31,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-SUN,null
2026-05-31,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-RTG,1
2026-06-01,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,19
2026-06-01,ASUC-(ALL)-PERF-KIDS-INTER,17
2026-06-01,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,null
2026-06-01,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,null
2026-06-01,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,4
2026-06-01,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,5
2026-06-01,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,4
2026-06-01,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,12
2026-06-01,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,6
2026-06-01,ASUC-(HISTO)-MULTI-(HISTO)-PERF-LABO,null
2026-06-01,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,1
2026-06-01,ASUC-(HISTO)-UK-(UK)-PERF-RTG,2
2026-06-01,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,null
2026-06-01,ASUC-(HISTO)-US-(US)-PERF-RTG,null
2026-06-01,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,null
2026-06-01,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,null
2026-06-01,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,null
2026-06-01,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,1
2026-06-01,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,5
2026-06-01,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,3
2026-06-01,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,1
2026-06-01,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,null
2026-06-01,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,5
2026-06-01,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,3
2026-06-01,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,4
2026-06-01,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,null
2026-06-01,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,3
2026-06-01,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,null
2026-06-01,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,null
2026-06-01,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,null
2026-06-01,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,null
2026-06-01,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,null
2026-06-01,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,null
2026-06-01,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,null
2026-06-01,ASUC-(NEW)-PERF-RTG-WARM-ROW,null
2026-06-01,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,3
2026-06-01,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,null
2026-06-01,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,1
2026-06-01,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,null
2026-06-01,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,null
2026-06-01,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,null
2026-06-01,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,1
2026-06-01,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,null
2026-06-01,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-READING,1
2026-06-01,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-SUN,2
2026-06-01,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-RTG,2
2026-06-02,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,12
2026-06-02,ASUC-(ALL)-PERF-KIDS-INTER,16
2026-06-02,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,null
2026-06-02,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,2
2026-06-02,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,3
2026-06-02,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,2
2026-06-02,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,3
2026-06-02,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,8
2026-06-02,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,4
2026-06-02,ASUC-(HISTO)-MULTI-(HISTO)-PERF-LABO,null
2026-06-02,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,7
2026-06-02,ASUC-(HISTO)-UK-(UK)-PERF-RTG,1
2026-06-02,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,1
2026-06-02,ASUC-(HISTO)-US-(US)-PERF-RTG,null
2026-06-02,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,1
2026-06-02,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,null
2026-06-02,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,2
2026-06-02,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,null
2026-06-02,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,3
2026-06-02,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,null
2026-06-02,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,null
2026-06-02,ASUC-(NEW)-CANADA-(CA)-PERF-RTG,null
2026-06-02,ASUC-(NEW)-CROATIE-(HR)-PERF-ACQ-COLD,3
2026-06-02,ASUC-(NEW)-CROATIE-(HR)-PERF-RTG,1
2026-06-02,ASUC-(NEW)-ESPAGNE-(ES)-PERF-ACQ-COLD,3
2026-06-02,ASUC-(NEW)-ESPAGNE-(ES)-PERF-RTG,1
2026-06-02,ASUC-(NEW)-ITALIE-(IT)-PERF-ACQ-COLD,2
2026-06-02,ASUC-(NEW)-ITALIE-(IT)-PERF-RTG,1
2026-06-02,ASUC-(NEW)-MEXIQUE-(MX)-PERF-ACQ-COLD,null
2026-06-02,ASUC-(NEW)-MEXIQUE-(MX)-PERF-RTG,null
2026-06-02,ASUC-(NEW)-NORVEGE-(NO)-PERF-ACQ-COLD,1
2026-06-02,ASUC-(NEW)-NORVEGE-(NO)-PERF-RTG,null
2026-06-02,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-ACQ-COLD,2
2026-06-02,ASUC-(NEW)-PAYS-BAS-(NL)-PERF-RTG,null
2026-06-02,ASUC-(NEW)-PERF-RTG-WARM-ROW,null
2026-06-02,ASUC-(NEW)-POLOGNE-(PL)-PERF-ACQ-COLD,null
2026-06-02,ASUC-(NEW)-POLOGNE-(PL)-PERF-RTG,null
2026-06-02,ASUC-(NEW)-PORTUGAL-(PT)-PERF-ACQ-COLD,null
2026-06-02,ASUC-(NEW)-PORTUGAL-(PT)-PERF-RTG,null
2026-06-02,ASUC-(NEW)-SUEDE-(SE)-PERF-ACQ-COLD,null
2026-06-02,ASUC-(NEW)-SUEDE-(SE)-PERF-RTG,null
2026-06-02,ASUC-(NEW)-SUISSE-(CH)-PERF-ACQ-COLD,2
2026-06-02,ASUC-(NEW)-SUISSE-(CH)-PERF-RTG,1
2026-06-02,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-READING,2
2026-06-02,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-ACQ-COLD-SUN,4
2026-06-02,ASUC-STEPHANE-(HISTO)-US-(US)-PERF-RTG,5
2026-06-03,ASUC-(ALL)-PERF-COLLECTIONS-SAISONNIERES-INTER,8
2026-06-03,ASUC-(ALL)-PERF-KIDS-INTER,20
2026-06-03,ASUC-(ALL)-PERF-RTG-DPA-HOT-INTER,null
2026-06-03,ASUC-(ALL)-PERF-RTG-HORIZON-INTER,1
2026-06-03,ASUC-(ALL)-PERF-UGC-INFLUENCE-INTER,4
2026-06-03,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-ACQ-COLD,9
2026-06-03,ASUC-(HISTO)-ALLEMAGNE-(DE)-PERF-RTG,null
2026-06-03,ASUC-(HISTO)-FRANCE-(FR)-PERF-ACQ-COLD,7
2026-06-03,ASUC-(HISTO)-FRANCE-(FR)-PERF-RTG,4
2026-06-03,ASUC-(HISTO)-UK-(UK)-PERF-ACQ-COLD,8
2026-06-03,ASUC-(HISTO)-UK-(UK)-PERF-RTG,5
2026-06-03,ASUC-(HISTO)-US-(US)-PERF-ACQ-COLD,2
2026-06-03,ASUC-(HISTO)-US-(US)-PERF-RTG,null
2026-06-03,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-ACQ-COLD,1
2026-06-03,ASUC-(NEW)-AUSTRALIE-(AU)-PERF-RTG,null
2026-06-03,ASUC-(NEW)-AUTRICHE-(AT)-PERF-ACQ-COLD,2
2026-06-03,ASUC-(NEW)-AUTRICHE-(AT)-PERF-RTG,1
2026-06-03,ASUC-(NEW)-BELGIQUE-(BE)-PERF-ACQ-COLD,null
2026-06-03,ASUC-(NEW)-BELGIQUE-(BE)-PERF-RTG,null
2026-06-03,ASUC-(NEW)-CANADA-(CA)-PERF-ACQ-COLD,null
